time,coin,price,tf15m_sig,tf1h_sig,tf4h_sig,score_15m,score_1h,score_4h,funding,oi,vote,notes
2025-10-19 14:14:54,ETH,3886.9200,⚖️ Trung tính,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-0.50,-0.20,-1.30,-3.50523561811e-05,4984302.720000011,⚖️ Chưa rõ ràng, | 432ms
2025-10-19 14:15:41,BNB,1088.1900,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,2.43366423674e-05,9927954.0,⚖️ Chưa rõ ràng, | 445ms
2025-10-19 14:15:47,ADA,0.6298,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.52134936907e-05,553840.6,⚖️ Chưa rõ ràng, | 431ms
2025-10-19 14:15:47,PEPE,0.0000,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,0.50,-0.20,-0.50,-3.6515977206e-05,487349.19999999995,⚖️ Chưa rõ ràng, | 427ms
2025-10-19 14:15:48,BTC,106892.0000,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.20135368075e-05,2301460.1200000052,⚖️ Chưa rõ ràng, | 431ms
2025-10-19 14:15:53,ETH,3887.9400,⚖️ Trung tính,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-0.50,-0.20,-1.30,-3.45639872009e-05,4985997.550000011,⚖️ Chưa rõ ràng, | 440ms
2025-10-19 14:15:54,LTC,91.8500,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,-0.50,1.80,-0.50,-5.61270932406e-05,439229.10000000003,⚖️ Chưa rõ ràng, | 429ms
2025-10-19 14:16:00,LINEA,0.0179,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,5e-05,2609800.0,⚖️ Chưa rõ ràng, | 437ms
2025-10-19 14:16:00,SOL,185.7500,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.37954084971e-05,2344711.5200000023,⚖️ Chưa rõ ràng, | 428ms
2025-10-19 14:16:01,BNB,1088.5700,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,2.43366423674e-05,9927029.0,⚖️ Chưa rõ ràng, | 438ms
2025-10-19 14:16:06,ADA,0.6301,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.39673697502e-05,553869.6,⚖️ Chưa rõ ràng, | 432ms
2025-10-19 14:16:07,PEPE,0.0000,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,0.50,-0.20,-0.50,-3.44073249472e-05,487365.39999999997,⚖️ Chưa rõ ràng, | 436ms
2025-10-19 14:16:07,BTC,106899.7000,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.18098835573e-05,2301475.3300000047,⚖️ Chưa rõ ràng, | 435ms
2025-10-19 14:16:13,ETH,3888.6400,⚖️ Trung tính,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-0.50,-0.20,-1.30,-3.39177085933e-05,4986147.8600000115,⚖️ Chưa rõ ràng, | 437ms
2025-10-19 14:16:13,LTC,91.9000,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,-0.50,2.60,-0.50,-5.42783102053e-05,439915.50000000006,⚖️ Chưa rõ ràng, | 451ms
2025-10-19 14:16:19,LINEA,0.0179,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,5e-05,2609800.0,⚖️ Chưa rõ ràng, | 431ms
2025-10-19 14:16:20,SOL,185.8000,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.43785021092e-05,2345486.0400000024,⚖️ Chưa rõ ràng, | 449ms
2025-10-19 14:16:20,BNB,1088.6300,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,2.42875604785e-05,9926933.0,⚖️ Chưa rõ ràng, | 436ms
2025-10-19 14:16:26,ADA,0.6300,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.39673697502e-05,553637.2,⚖️ Chưa rõ ràng, | 710ms
2025-10-19 14:16:26,PEPE,0.0000,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,0.50,-0.20,-0.50,-3.44073249472e-05,487486.0999999999,⚖️ Chưa rõ ràng, | 446ms
2025-10-19 14:16:27,BTC,106899.7000,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.18098835573e-05,2301395.790000005,⚖️ Chưa rõ ràng, | 461ms
2025-10-19 14:16:33,ETH,3889.3900,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,-0.50,-0.20,-0.50,-3.39177085933e-05,4988838.390000011,⚖️ Chưa rõ ràng, | 468ms
2025-10-19 14:16:33,LTC,91.9300,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,0.50,2.60,-0.50,-5.42783102053e-05,439914.50000000006,⚖️ Chưa rõ ràng, | 431ms
2025-10-19 14:16:39,LINEA,0.0179,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,5e-05,2609800.0,⚖️ Chưa rõ ràng, | 436ms
2025-10-19 14:16:39,SOL,185.8300,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.43785021092e-05,2345396.4200000023,⚖️ Chưa rõ ràng, | 436ms
2025-10-19 14:16:40,BNB,1088.7800,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,2.42875604785e-05,9926176.0,⚖️ Chưa rõ ràng, | 460ms
2025-10-19 14:16:45,ADA,0.6301,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.39673697502e-05,553651.4,⚖️ Chưa rõ ràng, | 430ms
2025-10-19 14:16:46,PEPE,0.0000,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-3.44073249472e-05,487529.79999999993,⚖️ Chưa rõ ràng, | 433ms
2025-10-19 14:16:46,BTC,106900.0100,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.18098835573e-05,2301353.860000005,⚖️ Chưa rõ ràng, | 430ms
2025-10-19 14:16:52,ETH,3889.3100,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,-0.50,-0.20,-0.50,-3.39177085933e-05,4988640.650000011,⚖️ Chưa rõ ràng, | 426ms
2025-10-19 14:16:53,LTC,91.9100,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,0.50,2.60,-0.50,-5.42783102053e-05,439923.9,⚖️ Chưa rõ ràng, | 436ms
2025-10-19 14:16:58,LINEA,0.0179,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,5e-05,2608319.0,⚖️ Chưa rõ ràng, | 429ms
2025-10-19 14:16:59,SOL,185.8700,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.43785021092e-05,2345515.970000002,⚖️ Chưa rõ ràng, | 434ms
2025-10-19 14:16:59,BNB,1089.0400,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,2.42875604785e-05,9917790.0,⚖️ Chưa rõ ràng, | 435ms
2025-10-19 14:17:07,ADA,0.6302,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.39673697502e-05,553701.0,⚖️ Chưa rõ ràng, | 429ms
2025-10-19 14:17:07,PEPE,0.0000,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,0.50,-0.20,-0.50,-3.44073249472e-05,487518.79999999993,⚖️ Chưa rõ ràng, | 433ms
2025-10-19 14:17:08,BTC,106912.0800,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.18098835573e-05,2300891.530000005,⚖️ Chưa rõ ràng, | 437ms
2025-10-19 14:17:13,ETH,3888.7400,⚖️ Trung tính,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-0.50,-0.20,-1.30,-3.39177085933e-05,4989126.970000011,⚖️ Chưa rõ ràng, | 437ms
2025-10-19 14:17:14,LTC,91.9100,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,0.50,2.60,-0.50,-5.42783102053e-05,439997.00000000006,⚖️ Chưa rõ ràng, | 436ms
2025-10-19 14:17:20,LINEA,0.0179,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,5e-05,2609287.0,⚖️ Chưa rõ ràng, | 435ms
2025-10-19 14:17:20,SOL,185.8200,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.43785021092e-05,2345627.4200000023,⚖️ Chưa rõ ràng, | 440ms
2025-10-19 14:17:21,BNB,1088.8700,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,2.42875604785e-05,9919498.0,⚖️ Chưa rõ ràng, | 519ms
2025-10-19 14:17:26,ADA,0.6302,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.31887839322e-05,553692.7,⚖️ Chưa rõ ràng, | 437ms
2025-10-19 14:17:27,PEPE,0.0000,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,0.50,-0.20,-0.50,-3.54741828391e-05,486688.3,⚖️ Chưa rõ ràng, | 435ms
2025-10-19 14:17:27,BTC,106912.0700,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.15129294749e-05,2300966.6900000046,⚖️ Chưa rõ ràng, | 426ms
2025-10-19 14:17:33,ETH,3888.9200,⚖️ Trung tính,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-0.50,-0.20,-1.30,-3.36895058784e-05,4988374.550000011,⚖️ Chưa rõ ràng, | 429ms
2025-10-19 14:17:33,LTC,91.9200,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,0.50,2.60,-0.50,-5.37476977168e-05,439972.1000000001,⚖️ Chưa rõ ràng, | 429ms
2025-10-19 14:17:39,LINEA,0.0179,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,5e-05,2610696.0,⚖️ Chưa rõ ràng, | 433ms
2025-10-19 14:17:40,SOL,185.8700,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.51846890327e-05,2345640.9000000022,⚖️ Chưa rõ ràng, | 433ms
2025-10-19 14:17:40,BNB,1089.1300,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,2.38578421216e-05,9920481.0,⚖️ Chưa rõ ràng, | 460ms
2025-10-19 14:17:46,ADA,0.6305,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.31887839322e-05,553735.5,⚖️ Chưa rõ ràng, | 444ms
2025-10-19 14:17:46,PEPE,0.0000,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-3.54741828391e-05,486420.39999999997,⚖️ Chưa rõ ràng, | 430ms
2025-10-19 14:17:47,BTC,106912.0800,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.15129294749e-05,2300877.950000005,⚖️ Chưa rõ ràng, | 428ms
2025-10-19 14:17:52,ETH,3889.8800,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,0.50,-0.20,-0.50,-3.36895058784e-05,4987187.100000011,⚖️ Chưa rõ ràng, | 428ms
2025-10-19 14:17:53,LTC,91.9400,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,0.50,2.60,-0.50,-5.37476977168e-05,439987.5000000001,⚖️ Chưa rõ ràng, | 437ms
2025-10-19 14:17:59,LINEA,0.0179,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,5e-05,2610734.0,⚖️ Chưa rõ ràng, | 424ms
2025-10-19 14:17:59,SOL,185.9000,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.51846890327e-05,2346014.1900000023,⚖️ Chưa rõ ràng, | 436ms
2025-10-19 14:17:59,BNB,1089.2100,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,2.38578421216e-05,9920278.0,⚖️ Chưa rõ ràng, | 440ms
2025-10-19 14:18:05,ADA,0.6303,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.31887839322e-05,553736.7,⚖️ Chưa rõ ràng, | 447ms
2025-10-19 14:18:06,PEPE,0.0000,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,0.50,-0.20,-0.50,-3.54741828391e-05,486284.69999999995,⚖️ Chưa rõ ràng, | 423ms
2025-10-19 14:18:07,BTC,106873.0500,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.15129294749e-05,2301116.240000005,⚖️ Chưa rõ ràng, | 434ms
2025-10-19 14:18:11,ETH,3889.5000,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,0.50,-0.20,-0.50,-3.31836362019e-05,4987366.430000011,⚖️ Chưa rõ ràng, | 437ms
2025-10-19 14:18:12,LTC,91.9100,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,0.50,2.60,-0.50,-5.15780862029e-05,439787.4000000001,⚖️ Chưa rõ ràng, | 433ms
2025-10-19 14:18:18,LINEA,0.0179,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,0.30,5e-05,2609452.0,⚖️ Chưa rõ ràng, | 427ms
2025-10-19 14:18:18,SOL,185.9400,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,1.58566998894e-05,2346248.590000002,⚖️ Chưa rõ ràng, | 433ms
2025-10-19 14:18:19,BNB,1089.4000,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-0.50,-1.20,-0.50,2.38605605705e-05,9916466.0,⚖️ Chưa rõ ràng, | 425ms
2025-10-19 14:18:24,ADA,0.6307,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚖️ Trung tính,-1.50,-1.20,-0.50,-1.17514332143e-05,553631.6,⚖️ Chưa rõ ràng, | 428ms
2025-10-19 14:18:24,PEPE,0.0000,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,0.50,-0.20,-0.50,-3.43890346437e-05,487265.8,⚖️ Chưa rõ ràng, | 431ms
2025-10-19 14:18:26,BTC,106906.3900,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Short (yếu)*,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,-1.50,-1.20,-1.30,-2.12329878878e-05,2301308.4800000046,⚖️ Chưa rõ ràng, | 430ms
2025-10-19 14:18:31,ETH,3890.6800,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,0.50,-0.20,-0.50,-3.31836362019e-05,4986352.300000011,⚖️ Chưa rõ ràng, | 425ms
2025-10-19 14:18:32,LTC,91.9200,⚖️ Trung tính,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều — *tiếp diễn Long (yếu)*,⚖️ Trung tính,0.50,2.60,-0.50,-5.15780862029e-05,439796.70000000007,⚖️ Chưa rõ ràng, | 436ms
